eia_id,hifld_name,hifld_state,customers
19161,"TRI-COUNTY ELECTRIC COOP, INC (FL)",FL,19918
20371,"WEST FLORIDA EL COOP ASSN, INC",FL,29191
20885,"WITHLACOOCHEE RIVER ELEC COOP",FL,238270
3245,"CENTRAL FLORIDA ELEC COOP, INC",FL,35781
3502,"CHOCTAWHATCHE ELEC COOP, INC",FL,60413
3757,"CLAY ELECTRIC COOPERATIVE, INC",FL,187066
58124,"CITY OF WINTER PARK - (FL)",FL,14864
5964,"ESCAMBIA RIVER ELEC COOP, INC",FL,12385
6443,"FLORIDA KEYS EL COOP ASSN, INC",FL,33935
6452,"FLORIDA POWER & LIGHT CO",FL,5739183
6455,"DUKE ENERGY FLORIDA, LLC",FL,1943962
6457,"FLORIDA PUBLIC UTILITIES CO",FL,29970
6616,"FORT PIERCE UTILITIES AUTHORITY",FL,29066
6909,"GAINESVILLE REGIONAL UTILITIES",FL,101050
7264,"GLADES ELECTRIC COOP, INC",FL,17664
7785,"GULF COAST ELECTRIC COOP, INC",FL,21778
8795,"CITY OF HOMESTEAD - (FL)",FL,31576
9616,"BEACHES ENERGY SERVICES",FL,36111
9617,"JEA",FL,506581
10421,"KNOXVILLE UTILITIES BOARD",TN,212691
10579,"CITY OF LAFOLLETTE",TN,22905
10799,"CITY OF LAWRENCEBURG",TN,21346
10906,"CITY OF LENOIR - (TN)",TN,72885
10968,"CITY OF LEXINGTON - (TN)",TN,23077
11222,"LOUDON UTILITIES BOARD",TN,13855
11789,"MARYVILLE UTILITIES",TN,22796
12293,"CITY OF MEMPHIS - (TN)",TN,420132
12330,"MERIWETHER LEWIS ELECTRIC COOP",TN,35682
12470,"MIDDLE TENNESSEE E M C",TN,329992
12988,"CITY OF MORRISTOWN - (TN)",TN,15876
13027,"MOUNTAIN ELECTRIC COOP, INC",TN,35854
13216,"NASHVILLE ELECTRIC SERVICE",TN,436995
13550,"CITY OF NEWPORT",TN,22991
13933,"CITY OF OAK RIDGE",TN,17217
14455,"CITY OF PARIS - (TN)",TN,22250
15016,"PICKWICK ELECTRIC COOP",TN,21132
15141,"PLATEAU ELECTRIC COOPERATIVE",TN,17556
15293,"POWELL VALLEY ELECTRIC COOP",TN,33995
15507,"CITY OF PULASKI - (TN)",TN,15088
1578,"BENTON COUNTY",TN,10437
16223,"CITY OF ROCKWOOD - (TN)",TN,15162
16930,"SEQUACHEE VALLEY ELECTRIC COOP",TN,37974
16949,"SEVIER COUNTY ELECTRIC SYSTEM",TN,60682
17047,"CITY OF SHELBYVILLE - (TN)",TN,11079
17694,"SOUTHWEST TENNESSEE E M C",TN,51602
18643,"TENNESSEE VALLEY ELECTRIC COOP",TN,20462
19162,"TRI-COUNTY ELEC MEMBER CORP (TN)",TN,55408
19266,"TULLAHOMA BOARD-PUBLIC UTILS",TN,11110
1936,"BOLIVAR ENERGY AUTHORITY",TN,11311
19574,"UPPER CUMBERLAND E M C",TN,52541
19898,"VOLUNTEER ELECTRIC COOP",TN,124178
20228,"WEAKLEY COUNTY MUN ELEC SYS",TN,20640
2247,"CITY OF BRISTOL - (TN)",TN,34124
2960,"CANEY FORK ELECTRIC COOP, INC",TN,34545
3075,"CARROLL COUNTY - (TN)",TN,15947
3408,"CITY OF CHATTANOOGA - (TN)",TN,194121
3704,"CITY OF CLARKSVILLE - (TN)",TN,80251
3758,"CITY OF CLEVELAND - (TN)",TN,33109
3812,"CITY OF CLINTON - (TN)",TN,30717
3855,"COLUMBIA POWER SYSTEM",TN,34019
40166,"CHICKASAW ELECTRIC COOP, INC",TN,22205
40236,"FORKED DEER ELECTRIC COOP, INC",TN,10078
4294,"CITY OF COOKEVILLE - (TN)",TN,19161
4624,"CUMBERLAND ELEC MEMBER CORP",TN,107375
4920,"CITY OF DAYTON - (TN)",TN,11111
5148,"CITY OF DICKSON",TN,37492
5399,"DUCK RIVER ELEC MEMBER CORP",TN,81883
5509,"CITY OF DYERSBURG",TN,12032
5763,"CITY OF ELIZABETHTON - (TN)",TN,26773
577,"CITY OF ALCOA UTILITIES",TN,31159
6234,"CITY OF FAYETTEVILLE",TN,19108
6608,"FORT LOUDOUN ELECTRIC COOP",TN,34897
6923,"CITY OF GALLATIN - (TN)",TN,24519
7174,"GIBSON ELECTRIC MEMBERS CORP",TN,38831
727,"APPALACHIAN ELECTRIC COOP",TN,49676
7625,"CITY OF GREENEVILLE - (TN)",TN,39860
8147,"CITY OF HARRIMAN - (TN)",TN,11138
8764,"HOLSTON ELECTRIC COOP, INC",TN,31723
947,"ATHENS UTILITY BOARD",TN,13770
9612,"CITY OF JACKSON - (TN)",TN,37225
9777,"JOHNSON CITY - (TN)",TN,82044
